"panel","lineage","drawn_in_4c","cluster","n_cells","gp","color","mean_loading","proportion"
"a","CD8",FALSE,"CD8.I",198,"GP77","#B1CC71FF",0.00076827517777577,0.000556048884838561
"a","CD8",FALSE,"CD8.J",1203,"GP77","#B1CC71FF",0.000948320528448032,0.000612212690181315
"a","CD8",FALSE,"CD8.K",214,"GP77","#B1CC71FF",0.0140863832702375,0.00720205309187368
"a","CD8",FALSE,"CD8.Q",2445,"GP77","#B1CC71FF",0.00127634385167604,0.00114640162092103
"a","CD8",FALSE,"CD8.R",1006,"GP77","#B1CC71FF",0.00250232091063168,0.00216242004814821
"a","CD8",FALSE,"CD8.T",901,"GP77","#B1CC71FF",0.000617833264738933,0.000589648034994748
"a","CD8",FALSE,"CD8.wV",481,"GP77","#B1CC71FF",0.0966060887717136,0.104547600423444
"a","CD8",FALSE,"CD8.wY",234,"GP77","#B1CC71FF",0.000196681500266092,0.000142449845296267
"a","CD8",FALSE,"CD8.P",2393,"GP77","#B1CC71FF",0.00165139706077028,0.000971934414601955
"a","CD8",FALSE,"CD8.A",44112,"GP80","#F1085CFF",0.0757980523534492,0.0882745700615296
"a","CD8",FALSE,"CD8.B",16066,"GP80","#F1085CFF",0.0762017783238706,0.0960547130461266
"a","CD8",FALSE,"CD8.C",2600,"GP80","#F1085CFF",0.114911015314747,0.108310192306771
"a","CD8",FALSE,"CD8.D",2195,"GP80","#F1085CFF",0.0825787636337905,0.0791107803330427
"a","CD8",FALSE,"CD8.E",10027,"GP80","#F1085CFF",0.206372689518155,0.182032043200103
"a","CD8",FALSE,"CD8.F",266,"GP80","#F1085CFF",0.17994085310248,0.127387692335893
"a","CD8",FALSE,"CD8.G",997,"GP80","#F1085CFF",0.310527401332526,0.246979159593084
"a","CD8",FALSE,"CD8.H",1366,"GP80","#F1085CFF",0.255747062920252,0.218171008748206
"a","CD8",FALSE,"CD8.I",198,"GP80","#F1085CFF",0.194019753663145,0.140424252640024
"a","CD8",FALSE,"CD8.J",1203,"GP80","#F1085CFF",0.276100904137193,0.178244034809574
"a","CD8",FALSE,"CD8.K",214,"GP80","#F1085CFF",0.197844596183187,0.101153522399337
"a","CD8",FALSE,"CD8.Q",2445,"GP80","#F1085CFF",0.121098310030055,0.108769512797786
"a","CD8",FALSE,"CD8.R",1006,"GP80","#F1085CFF",0.167241912013671,0.144524733775137
"a","CD8",FALSE,"CD8.T",901,"GP80","#F1085CFF",0.0780275385118347,0.0744679630974895
"a","CD8",FALSE,"CD8.wV",481,"GP80","#F1085CFF",0.15111962920724,0.16354243103488
"a","CD8",FALSE,"CD8.wY",234,"GP80","#F1085CFF",0.258097726300416,0.18693156770246
"a","CD8",FALSE,"CD8.P",2393,"GP80","#F1085CFF",0.185180820843679,0.108988696284986
"a","CD8",FALSE,"CD8.A",44112,"GP118","#FE8F42FF",0.000882779113143536,0.00102808639869357
"a","CD8",FALSE,"CD8.B",16066,"GP118","#FE8F42FF",0.000639470101685878,0.000806071964068232
"a","CD8",FALSE,"CD8.C",2600,"GP118","#FE8F42FF",0.0047123233662853,0.00444163380347879
"a","CD8",FALSE,"CD8.D",2195,"GP118","#FE8F42FF",0.00113246381904212,0.00108490479247985
"a","CD8",FALSE,"CD8.E",10027,"GP118","#FE8F42FF",0.00122112200121731,0.00107709665167992
"a","CD8",FALSE,"CD8.F",266,"GP118","#FE8F42FF",1.59048749908493e-08,1.12597294446595e-08
"a","CD8",FALSE,"CD8.G",997,"GP118","#FE8F42FF",0.000705799192773281,0.000561360094872771
