dimension,order,label,dominant_group,dominant_group_position,dominant_mean,second_mean,dominance_gap,dominant_gp_count
Group column,77,CD8aa.wM,NA,77,NA,NA,NA,1
Group column,78,Tz.A,NA,78,NA,NA,NA,0
Group column,79,Tz.B,NA,79,NA,NA,NA,0
Group column,80,Tz.C,NA,80,NA,NA,NA,0
Group column,81,Tz.D,NA,81,NA,NA,NA,1
Group column,82,Tz.P,NA,82,NA,NA,NA,0
Group column,83,Tz.wM,NA,83,NA,NA,NA,2
Group column,84,DN.A,NA,84,NA,NA,NA,0
Group column,85,DN.B,NA,85,NA,NA,NA,0
Group column,86,DN.C,NA,86,NA,NA,NA,0
Group column,87,DN.D,NA,87,NA,NA,NA,0
Group column,88,DN.E,NA,88,NA,NA,NA,1
Group column,89,DN.F,NA,89,NA,NA,NA,4
Group column,90,DN.G,NA,90,NA,NA,NA,0
Group column,91,DN.H,NA,91,NA,NA,NA,0
Group column,92,DN.I,NA,92,NA,NA,NA,0
Group column,93,DN.J,NA,93,NA,NA,NA,1
Group column,94,DN.P,NA,94,NA,NA,NA,2
Group column,95,DN.wM,NA,95,NA,NA,NA,1
Group column,96,DP.wA,NA,96,NA,NA,NA,0
Group column,97,DP.wB,NA,97,NA,NA,NA,0
Group column,98,DP.wC,NA,98,NA,NA,NA,1
Group column,99,DP.wD,NA,99,NA,NA,NA,0
Group column,100,DP.wE,NA,100,NA,NA,NA,1
Group column,101,DP.wF,NA,101,NA,NA,NA,1
Group column,102,DP.wG,NA,102,NA,NA,NA,3
Group column,103,DP.wH,NA,103,NA,NA,NA,1
Group column,104,DP.wM,NA,104,NA,NA,NA,0
Group column,105,DP.wP,NA,105,NA,NA,NA,1
Group column,106,DP.wX,NA,106,NA,NA,NA,0
Group column,107,DP.wY,NA,107,NA,NA,NA,1
