"GP","mean_change_loadings_CD4","mean_change_loadings_CD8","AveExpr_CD4","AveExpr_CD8","d_CD4","d_CD8","Ratio_CD8_CD4"
"GP158",1.01908187079282e-05,-1.28035811048706e-06,8.13793685203416e-06,2.23704731780972e-06,0.0054896611590626,-0.000689712219427812,-0.125638395420672
"GP159",0.00889554486999408,0.000489322123792228,0.00300740839649304,0.000243645962496381,0.370638861633581,0.0203879354873737,0.0550075493905697
"GP160",1.48959227687563e-05,-9.97540614389618e-06,7.86970054700346e-06,1.95733255762349e-05,0.00704233418507698,-0.00471606524736649,-0.669673594496558
"GP161",0.0186429330182667,0.000442003218313608,0.0062953223519868,0.00028059517603275,0.453733522394687,0.0107575174442088,0.0237088883965052
"GP162",0.010298854774014,0.000298530369909617,0.00351099687909682,0.000153951252168909,0.460172613487535,0.0133389103488801,0.0289867540090833
"GP163",0.00998573513693182,-0.00275305778150943,0.0565979274206167,0.0507868043403368,0.249253608906324,-0.0687189854486473,-0.275699059083528
"GP164",2.36393575915467e-05,1.53574588073475e-05,1.43002128037778e-05,1.58969176841939e-05,0.00839229837129936,0.00545210994152768,0.649656351610809
"GP165",-3.83395513294104e-06,-4.04800225600929e-06,9.76529311142611e-06,9.49314053958228e-06,-0.00235752364857877,-0.0024891426000391,1.05582932393475
"GP166",0.0164069217683752,0.00951679297379886,0.103593060316248,0.104049323078677,0.179841871259666,0.104316817070331,0.580047440229937
"GP167",0.000357982422919386,2.90027158337426e-05,0.00022857382339926,0.000129208807297266,0.0485171069102603,0.0039307177523363,0.0810171504992404
"GP168",0.000454601883150478,4.31322991564948e-06,0.000224643325810995,7.63476880460295e-05,0.0605960969551813,0.000574931402279673,0.00948792795524288
"GP169",0.00323222007831634,7.37596347141676e-05,0.00267656488313527,0.00162652249954745,0.128676632876436,0.00293641559276462,0.0228201152542153
"GP170",0.0782722385454594,0.032540786062616,0.0677892854425119,0.0602939820269353,1.24623187226178,0.518106617279523,0.415738538558812
"GP171",-0.0204603291773287,-0.0297670636932101,0.176583497845052,0.164011262659376,-0.535635883623828,-0.779279127232547,1.45486729148981
