"GP","blood","spleen","LN","bone marrow","lung","liver","peritoneal cavity","colon epi","small intestine epi","colon LP","small intestine LP","skin","mammary gland","uterus","placenta","submandibular gland","kidney","CNS"
"GP65",0.557581905101398,0.528236237007264,0.564508740148954,0.578303647200674,0.557101868702105,0.539467957151877,0.63561776022462,0.564332325995999,0.574466559974024,0.602779629381798,0.520676949440909,0.512416528494912,0.665186653347331,0.649969349262169,0.565320507707714,0.633547923548868,0.532636869491046,0.589405396607825
"GP66",0.50380711351333,0.532851181210125,0.523919035063767,0.53563300927548,0.523754480552707,0.53722948324735,0.521480341994445,0.539497077372363,0.502772454182803,0.554927302668147,0.518453582028159,0.625692651254357,0.529795441875571,0.518068777744787,0.5662791049368,0.578732981427822,0.572946249550296,0.65196571459088
"GP67",0.568268142301703,0.51462930148428,0.564287070799635,0.590822091286473,0.603011193707493,0.505095904217136,0.617336047833771,0.553567775632152,0.5429641478967,0.559818550414432,0.494204101647771,0.617390579955497,0.599428247996463,0.623533522347465,0.630020383100666,0.501526270743092,0.514652321237392,0.862480296655337
"GP68",0.551467172916652,0.500524028001831,0.52174137362662,0.554147610546403,0.532756617614628,0.542417453793995,0.700178644429571,0.536247496840207,0.540680744230566,0.536827843131622,0.539122791526122,0.504677099106691,0.566659193104095,0.591769071627219,0.507024227018212,0.531557576193536,0.571138482797163,0.407828611947845
"GP69",0.592744550514179,0.557218135142999,0.587470268764017,0.640597508722536,0.549871342207751,0.630818435212132,0.692905980401823,0.560815487648075,0.581746466014785,0.521361158431474,0.54774453263532,0.724629234816234,0.515388428906376,0.519239577801555,0.544238873899528,0.580927290404349,0.651145900998788,0.535692351902265
"GP70",0.589145700935017,0.52251911842923,0.518635636843717,0.612582270271726,0.550160752073335,0.582031424191449,0.676938283330696,0.504881682069331,0.506679314031857,0.567642658958465,0.498676208214495,0.621824240972422,0.596045292995178,0.611824484307965,0.536159015296096,0.689457207893657,0.566016078450939,0.612653965823942
"GP71",0.520518313758385,0.504470417367385,0.5341774858444,0.533268364806904,0.524207905774445,0.566550400383573,0.582404336406806,0.582425250649505,0.56099289494473,0.498791684140278,0.503935919361388,0.636217543659693,0.519306053206701,0.526965237173324,0.636855822807102,0.636005380334241,0.554036353796876,0.729756363030657
"GP72",0.507211626709924,0.536702752104974,0.564315981092898,0.506689179133154,0.537774250600868,0.556119555064498,0.521117040538912,0.53665165650521,0.526158594835483,0.611718091529795,0.619688990448368,0.824220037280877,0.570221449149779,0.536174788368109,0.692073258791774,0.603503667949598,0.516525451982686,0.799499103786561
"GP73",0.52783762246119,0.545198637377487,0.533953037226941,0.524493367947179,0.533967785759469,0.585645996758877,0.634261477456288,0.53545325044423,0.539305437300587,0.606880270693088,0.56261393978455,0.574207210480874,0.605637512464098,0.623488405432182,0.569404877768933,0.638597282140131,0.611055483292728,0.728995990880622
"GP74",0.561392339504662,0.523686403842121,0.580638883471004,0.639413212189516,0.548896247858652,0.548316337076805,0.510615896914205,0.653314504493225,0.617207122714559,0.539563924578019,0.529137121939889,0.699642876962156,0.56300654831422,0.678297910549734,0.731458923780437,0.610419613519133,0.523782099518267,0.600088752468349
"GP75",0.514318497053891,0.533153245517679,0.509268384214196,0.517001183436899,0.516222801106992,0.509867959368122,0.508251009593913,0.542728572995578,0.553103028042935,0.540156190183643,0.516404189927011,0.600787504458134,0.507708152084367,0.495213086299483,0.510631288949304,0.526707486230778,0.498164869182785,0.481262590749822
"GP76",0.536565745767659,0.502785132564616,0.55043707619265,0.527000052705548,0.522605223495582,0.530873023487872,0.513503083196585,0.527375978197601,0.519646265901281,0.55891624186473,0.511480277411405,0.575832546907183,0.598893525545439,0.636399727240044,0.519228669415246,0.595139690601468,0.532012134402893,0.653152895411532
"GP77",0.552244504250516,0.539446039316507,0.528708729203051,0.546444979796594,0.499478343009158,0.516477602141866,0.602155121080358,0.509034070062658,0.520792648300486,0.49165425941531,0.532716763427568,0.51747283727266,0.844201751888695,0.543920781438456,0.531191273743919,0.580708275671401,0.517062602772667,0.494478401234905
"GP78",0.585552786232382,0.534521912961389,0.506410034803069,0.629412302682155,0.533549556965341,0.583316534646936,0.64850723825737,0.520439544262469,0.564001027005065,0.529788044775393,0.52395351781787,0.535964331983931,0.618652901049929,0.532567802229137,0.599363828287325,0.516389443242695,0.548106909994255,0.65525515063125
"GP79",0.513529142334609,0.551618938645217,0.533308070519752,0.574355292693409,0.558538156867182,0.544439651919809,0.684856980798502,0.669548345201155,0.503744272971049,0.661567123069412,0.66921847182573,0.546420954371845,0.626690327139861,0.668869891011226,0.640900683262139,0.674026016812561,0.530099068523186,0.664227033391528
"GP80",0.586014102990812,0.520157166413173,0.564513966950834,0.711166854479519,0.56264173992238,0.557383375784335,0.837084366323719,0.502467166085452,0.593862148703971,0.58815834317551,0.599873305816512,0.547556958328929,0.756944329398992,0.624858077975064,0.600628922890055,0.570970982822077,0.581461913065344,0.563290385445951
"GP81",0.526037926286846,0.486481902593531,0.509797053473773,0.539604913828752,0.540810982511988,0.599997127800577,0.575626716955072,0.560356591731414,0.551848259474757,0.537204659198951,0.52862607253661,0.587214179284294,0.499192697304912,0.533100493445568,0.618082440440363,0.625701030145805,0.583028061992414,0.771746791835623
"GP82",0.53475564946022,0.506595310586319,0.541513426103858,0.535721304580716,0.565314168647149,0.531474168043261,0.552428500420245,0.550587146214058,0.535959933544132,0.545702307996233,0.519947252456901,0.515424678626277,0.540815416421272,0.607794059851352,0.615731367593482,0.564792354998885,0.53698876213731,0.832773650265262
"GP83",0.506164253243331,0.514507164086351,0.516725880857417,0.499001959392581,0.529279865135514,0.52817979800819,0.535017253688851,0.501877003313195,0.509565106526586,0.537347722268298,0.560103908891189,0.497239204727308,0.65379615632597,0.510189359056802,0.506619929193677,0.54449888887667,0.490494475497721,0.709317017120243
"GP84",0.532180084571003,0.526140239929103,0.549756097198339,0.548895630059994,0.562326059645654,0.550066078695075,0.688796787914749,0.528811576695647,0.527213173405985,0.599806157517298,0.513083401034946,0.563757891452414,0.619749477930252,0.686485907814284,0.598147553555211,0.557289056704434,0.529109968006125,0.485915949632338
"GP85",0.533588506148077,0.509590758700463,0.523092700766725,0.537228413537478,0.549017555941176,0.589815426524452,0.582873208184706,0.533881691184262,0.548580230641457,0.53816943907187,0.550200338014768,0.768052073107681,0.513070890224277,0.52733089542687,0.605429596767976,0.601536604519068,0.569213108447816,0.755127531871844
"GP86",0.574527519550768,0.521827172113302,0.555085884783873,0.604165665934594,0.582098459148044,0.529513614500945,0.650900083811178,0.548590424130982,0.528555499597611,0.608287001141643,0.53610198834901,0.507658415340919,0.588212628593335,0.653147889502914,0.573573301249766,0.592768734420657,0.495051946436533,0.72911890499629
"GP87",0.557088056203905,0.507502685336561,0.522135351578779,0.553907581960029,0.520093156074445,0.554151605210014,0.648345440987003,0.520373558338723,0.512463205611212,0.599092125607005,0.528373664199838,0.625392742104417,0.587293581868318,0.642473952453468,0.523450053083239,0.651324419931699,0.519686036218852,0.713026480362775
"GP88",0.560609469626873,0.523788293070123,0.517952984948797,0.575383995391631,0.506313222317397,0.589106817331684,0.631923011590638,0.509695826848403,0.508471626566758,0.590603070386351,0.531629831223003,0.598021781673719,0.595923092367135,0.605535352612551,0.568767507361981,0.645861802782455,0.561159075514795,0.697158268029913
"GP89",0.588121503979989,0.550600254103752,0.536292611536832,0.587349871358993,0.532633603434464,0.629297132233067,0.626923494211899,0.596934794834464,0.496380122934749,0.602833703021317,0.555524402109836,0.514450783045196,0.566356253797055,0.593500102720946,0.613353571545619,0.644158775539299,0.672625533179892,0.689086201364687
"GP90",0.537883152032355,0.50889061788843,0.518245977567187,0.562219287862145,0.542539581432518,0.536508424703888,0.577884236288584,0.520819243344156,0.553362994103966,0.508513827614014,0.539681147473803,0.51551993250649,0.521446037266708,0.549417325863276,0.552360550154022,0.56629821545548,0.55686809551098,0.647802316803928
