"GP","Positive markers","Negative markers","Prop. positive among gated (True Discovery Proportion)","Prop. positive among all cells","Well aligned"
"GP115","CD4, ITA4.CD49D, GITR.CD357, NEUROPILIN1.CD304","ITAX.CD11C, FR4, CD62L, ITAM.CD11B, THY1.2, GR1-LY6G-LY6C1-LY6C2, CD11A, IL2RA.CD25, CD45RB, ICAM1, TCRVG2",0,0,FALSE
"GP119","THY1.2, ICOS.CD278, KLRG1, CD44, CD27","ITAM.CD11B, CD86, GR1-LY6G-LY6C1-LY6C2, GITR.CD357",0,0.001,FALSE
"GP123","CD4, GR1-LY6G-LY6C1-LY6C2, CD86, ITAM.CD11B, CD39, CD45RB, IL7RA.CD127, CD38","CD44, THY1.2, ICOS.CD278, KLRG1, CD49B",0,0,FALSE
"GP131","CD29","",0,0,FALSE
"GP134","CD44, THY1.2, CD49B, ICOS.CD278","CD4, GR1-LY6G-LY6C1-LY6C2, CD86, CD39, CD38, ITAM.CD11B, CD45RB, IL7RA.CD127, ITA4.CD49D, CD24",0,0.001,FALSE
"GP136","CD49B, CD29, ITAM.CD11B, CD4, CD155.PVR","ICAM1",0,0,FALSE
"GP142","CD8B, CD73.5NTD, CD45RB, CD38, THY1.2, ITA4.CD49D","",0,0,FALSE
"GP143","","CD8B, CD73.5NTD, CD38, CD45RB, CD8A, THY1.2",0,0,FALSE
"GP144","","CD8B, CD73.5NTD, CD38, CD45RB, THY1.2, CD8A",0,0,FALSE
"GP145","CD8B, CD73.5NTD, CD45RB, ICAM1, CD38, CD27, ITA4.CD49D, THY1.2, CD160, CD103","CD4, CD49B, CD29",0,0.002,FALSE
"GP146","ITAM.CD11B, CD4, CD49B, CD24","ICAM1, CD27, CD160, CD103, CD11A",0,0,FALSE
"GP147","ICAM1","CD49B, CD4, CD29, ITAM.CD11B",0,0,FALSE
"GP148","ICAM1, CD44","ITAM.CD11B, CD38, CD29, CD49B, CD8B, CD5, CD73.5NTD, CD80, NEUROPILIN1.CD304, THY1.2, CD8A",0,0.001,FALSE
"GP150","CD73.5NTD, THY1.2, CD5, CD38","",0,0.003,FALSE
"GP154","","THY1.2, CD73.5NTD, CD27, CD45RB, CD103, CD8A, NEUROPILIN1.CD304, CD11A, CD38, TCRGD, CD29",0,0,FALSE
"GP155","THY1.2, CD103, CD27, KLRG1","CD4, ITAM.CD11B, GITR.CD357, CD86, CD38",0,0,FALSE
"GP156","SCA1, CD38, CD24","CD2, CD103",0,0.001,FALSE
